Name	CtlL3HdrProtoCam	EntryNumber	1
isValid[0:0]	RO	0	
l3TypeMask0[0:0]	RO	0	
l3TypeData0[0:0]	RO	0	
l3ProtoMask0[0:0]	RO	0	
l3ProtoData0[0:0]	RO	0	
l4Type0[0:0]	RO	0	
protocol[0:0]	RO	0	
l3TypeMask1[0:0]	RO	0	
l3TypeData1[0:0]	RO	0	
l3ProtoMask1[0:0]	RO	0	
l3ProtoData1[0:0]	RO	0	
l4Type1[0:0]	RO	0	
l3TypeMask2[0:0]	RO	0	
l3TypeData2[0:0]	RO	0	
l3ProtoMask2[0:0]	RO	0	
l3ProtoData2[0:0]	RO	0	
l4Type2[0:0]	RO	0	
l3TypeMask3[0:0]	RO	0	
l3TypeData3[0:0]	RO	0	
l3ProtoMask3[0:0]	RO	0	
l3ProtoData3[0:0]	RO	0	
l4Type3[0:0]	RO	0	
l3TypeMask4[0:0]	RO	0	
l3TypeData4[0:0]	RO	0	
l3ProtoMask4[0:0]	RO	0	
l3ProtoData4[0:0]	RO	0	
l4Type4[0:0]	RO	0	
l3TypeMask5[0:0]	RO	0	
l3TypeData5[0:0]	RO	0	
l3ProtoMask5[0:0]	RO	0	
l3ProtoData5[0:0]	RO	0	
l4Type5[0:0]	RO	0	
l3TypeMask6[0:0]	RO	0	
l3TypeData6[0:0]	RO	0	
l3ProtoMask6[0:0]	RO	0	
l3ProtoData6[0:0]	RO	0	
l4Type6[0:0]	RO	0	
l3TypeMask7[0:0]	RO	0	
l3TypeData7[0:0]	RO	0	
l3ProtoMask7[0:0]	RO	0	
l3ProtoData7[0:0]	RO	0	
l4Type7[0:0]	RO	0	
l3TypeMask8[0:0]	RO	0	
l3TypeData8[0:0]	RO	0	
l3ProtoMask8[0:0]	RO	0	
l3ProtoData8[0:0]	RO	0	
l4Type8[0:0]	RO	0	
l3TypeMask9[0:0]	RO	0	
l3TypeData9[0:0]	RO	0	
l3ProtoMask9[0:0]	RO	0	
l3ProtoData9[0:0]	RO	0	
l4Type9[0:0]	RO	0	
l3TypeMask10[0:0]	RO	0	
l3TypeData10[0:0]	RO	0	
l3ProtoMask10[0:0]	RO	0	
l3ProtoData10[0:0]	RO	0	
l4Type10[0:0]	RO	0	
l3TypeMask11[0:0]	RO	0	
l3TypeData11[0:0]	RO	0	
l3ProtoMask11[0:0]	RO	0	
l3ProtoData11[0:0]	RO	0	
l4Type11[0:0]	RO	0	
l3TypeMask12[0:0]	RO	0	
l3TypeData12[0:0]	RO	0	
l3ProtoMask12[0:0]	RO	0	
l3ProtoData12[0:0]	RO	0	
l4Type12[0:0]	RO	0	
l3TypeMask13[0:0]	RO	0	
l3TypeData13[0:0]	RO	0	
l3ProtoMask13[0:0]	RO	0	
l3ProtoData13[0:0]	RO	0	
l4Type13[0:0]	RO	0	
l3TypeMask14[0:0]	RO	0	
l3TypeData14[0:0]	RO	0	
l3ProtoMask14[0:0]	RO	0	
l3ProtoData14[0:0]	RO	0	
l4Type14[0:0]	RO	0	
l3TypeMask15[0:0]	RO	0	
l3TypeData15[0:0]	RO	0	
l3ProtoMask15[0:0]	RO	0	
l3ProtoData15[0:0]	RO	0	
l4Type15[0:0]	RO	0	
